Time, Ptotal,regD,Time regD,power
5832.25,13771.58301,-0.357200265,5832.25,11300.06489
5832.5,13771.58301,-0.36538041,5834.25,6346.1959
5832.75,13771.58301,-0.36314197,5836.25,6368.5803
5833,13771.58301,-0.360903498,5838.25,6390.96502
5833.25,13771.58301,-0.358665058,5840.25,6413.34942
5833.5,13771.58301,-0.356426618,5842.25,6435.73382
5833.75,13771.58301,-0.344836609,5844.25,6551.63391
5834,13771.58301,-0.333246601,5846.25,6667.53399
5834.25,13771.58301,-0.311513485,5848.25,6884.86515
5834.5,13511.63379,-0.289780339,5850.25,7102.19661
5834.75,13157.22852,-0.283356554,5852.25,7166.43446
5835,12865.25684,-0.27693277,5854.25,7230.6723
5835.25,12384.62695,-0.270508986,5856.25,7294.91014
5835.5,11985.29102,-0.264085217,5858.25,7359.14783
5835.75,11915.06055,-0.257661433,5860.25,7423.38567
5836,11378.66406,-0.258352184,5862.25,7416.47816
5836.25,10499.40137,-0.259042951,5864.25,7409.57049
5836.5,10155.99609,-0.259733701,5866.25,7402.66299
5836.75,9735.787109,-0.260424452,5868.25,7395.75548
5837,9301.777344,-0.246599702,5870.25,7534.00298
5837.25,9257.379883,-0.232774935,5872.25,7672.25065
5837.5,8853.195313,-0.218950185,5874.25,7810.49815
5837.75,8191.369629,-0.197101363,5876.25,8028.98637
5838,8003.95752,-0.175252556,5878.25,8247.47444
5838.25,8003.95752,-0.153403733,5880.25,8465.96267
5838.5,7892.06543,-0.131554919,5882.25,8684.45081
5838.75,7783.473145,-0.125743138,5884.25,8742.56862
5839,7783.473145,-0.119931364,5886.25,8800.68636
5839.25,7783.473145,-0.114119583,5888.25,8858.80417
5839.5,7576.186523,-0.123700116,5890.25,8762.99884
5839.75,7576.186523,-0.133280642,5892.25,8667.19358
5840,7576.186523,-0.142861175,5894.25,8571.38825
5840.25,7576.186523,-0.136943604,5896.25,8630.56396
5840.5,7201.207031,-0.131026017,5898.25,8689.73983
5840.75,7201.207031,-0.125108439,5900.25,8748.91561
5841,7201.207031,-0.106216126,5902.25,8937.83874
5841.25,7201.207031,-0.087323821,5904.25,9126.76179
5841.5,7115.710938,-0.068431508,5906.25,9315.68492
5841.75,7115.710938,-0.049539203,5908.25,9504.60797
5842,7115.710938,-0.030646891,5910.25,9693.53109
5842.25,7115.710938,-0.000482823,5912.25,9995.17177
5842.5,7115.710938,0.015711061,5914.25,10157.11061
5842.75,7115.710938,0.042560474,5916.25,10425.60474
5843,7115.710938,0.042560474,5918.25,10425.60474
5843.25,7115.710938,0.085195625,5920.25,10851.95625
5843.5,7115.710938,0.107601053,5922.25,11076.01053
5843.75,7115.710938,0.130006489,5924.25,11300.06489
5844,7115.710938,0.152411916,5926.25,11524.11916
5844.25,7115.710938,0.174817352,5928.25,11748.17352
5844.5,7115.710938,0.197222772,5930.25,11972.22772
5844.75,7115.710938,0.219628208,5932.25,12196.28208
5845,7115.710938,0.237743258,5934.25,12377.43258
5845.25,7115.710938,0.255858309,5936.25,12558.58309
5845.5,7115.710938,0.264889925,5938.25,12648.89925
5845.75,7115.710938,0.283595309,5940.25,12835.95309
5846,7115.710938,0.302300677,5942.25,13023.00677
5846.25,7115.710938,0.321006045,5944.25,13210.06045
5846.5,7115.710938,0.348003526,5946.25,13480.03526
5846.75,7115.710938,0.375000973,5948.25,13750.00973
5847,7115.710938,0.401998453,5950.25,14019.98453
5847.25,7115.710938,0.428995934,5952.25,14289.95934
5847.5,7115.710938,0.455993381,5954.25,14559.93381
5847.75,7115.710938,0.482990861,5956.25,14829.90861
5848,7115.710938,0.509337959,5958.25,15093.37959
5848.25,7115.710938,0.535685091,5960.25,15356.85091
5848.5,7115.710938,0.562032156,5962.25,15620.32156
5848.75,7115.710938,0.588379288,5964.25,15883.79288
5849,7115.710938,0.610277786,5966.25,16102.77786
5849.25,7115.710938,0.632176285,5968.25,16321.76285
5849.5,7115.710938,0.65407485,5970.25,16540.7485
5849.75,7115.710938,0.675973349,5972.25,16759.73349
5850,7115.710938,0.692508307,5974.25,16925.08307
5850.25,7115.710938,0.709043264,5976.25,17090.43264
5850.5,7115.710938,0.725578222,5978.25,17255.78222
5850.75,7115.710938,0.750301952,5980.25,17503.01952
5851,7115.710938,0.775025749,5982.25,17750.25749
5851.25,7115.710938,0.799749479,5984.25,17997.49479
5851.5,7115.710938,0.814456959,5986.25,18144.56959
5851.75,7115.710938,0.829164505,5988.25,18291.64505
5852,7115.710938,0.843871984,5990.25,18438.71984
5852.25,7115.710938,0.851326361,5992.25,18513.26361
5852.5,7115.710938,0.85878067,5994.25,18587.8067
5852.75,7115.710938,0.866235046,5996.25,18662.35046
5853,7115.710938,0.873689356,5998.25,18736.89356
5853.25,7115.710938,0.881143732,6000.25,18811.43732
5853.5,7115.710938,0.895457678,6002.25,18954.57678
5853.75,7115.710938,0.909771624,6004.25,19097.71624
5854,7115.710938,0.924085503,6006.25,19240.85503
5854.25,7115.710938,0.938399448,6008.25,19383.99448
5854.5,7115.710938,0.952713394,6010.25,19527.13394
5854.75,7123.082031,0.963963718,6012.25,19639.63718
5855,7123.166992,0.975214043,6014.25,19752.14043
5855.25,7137.021484,0.976906939,6016.25,19769.06939
5855.5,7155.564453,0.978599834,6018.25,19785.99834
5855.75,7200.003418,0.98029273,6020.25,19802.9273
5856,7225.80127,0.981985626,6022.25,19819.85626
5856.25,7263.380859,0.983678522,6024.25,19836.78522
5856.5,7285.030762,0.985371418,6026.25,19853.71418
5856.75,7317.574707,0.98854579,6028.25,19885.4579
5857,7345.348145,0.991720228,6030.25,19917.20228
5857.25,7369.353516,0.9948946,6032.25,19948.946
5857.5,7375.950684,0.98939908,6034.25,19893.9908
5857.75,7454.818359,0.983903561,6036.25,19839.03561
5858,7471.541504,0.983903561,6038.25,19839.03561
5858.25,7487.314941,0.983,6040.25,19830
5858.5,7488.59668,0.984,6042.25,19840
5858.75,7493.725098,0.984,6044.25,19840
5859,7500.154297,0.984,6046.25,19840
5859.25,7500.154297,0.985,6048.25,19850
5859.5,7500.154297,0.985,6050.25,19850
5859.75,7513.070801,0.985,6052.25,19850
5860,7513.070801,0.986,6054.25,19860
5860.25,7513.070801,0.987,6056.25,19870
5860.5,7513.070801,0.987,6058.25,19870
5860.75,7532.588379,0.987,6060.25,19870
5861,7532.588379,0.988,6062.25,19880
5861.25,7532.588379,0.989,6064.25,19890
5861.5,7532.588379,0.989,6066.25,19890
5861.75,7545.695313,0.988584709,6068.25,19885.84709
5862,7545.695313,0.996576402,6070.25,19965.76402
5862.25,7545.695313,0.98332704,6072.25,19833.2704
5862.5,7545.695313,0.970077678,6074.25,19700.77678
5862.75,7545.695313,,,
5863,7545.695313,,,
5863.25,7545.695313,,,
5863.5,7545.695313,,,
5863.75,7545.695313,,,
5864,7545.695313,,,
5864.25,7545.695313,,,
5864.5,7545.695313,,,
5864.75,7545.695313,,,
5865,7545.695313,,,
5865.25,7545.695313,,,
5865.5,7545.695313,,,
5865.75,7545.695313,,,
5866,7545.695313,,,
5866.25,7545.695313,,,
5866.5,7545.695313,,,
5866.75,7545.695313,,,
5867,7545.695313,,,
5867.25,7545.695313,,,
5867.5,7545.695313,,,
5867.75,7545.695313,,,
5868,7545.695313,,,
5868.25,7545.695313,,,
5868.5,7545.695313,,,
5868.75,7545.695313,,,
5869,7545.695313,,,
5869.25,7545.695313,,,
5869.5,7545.695313,,,
5869.75,7545.695313,,,
5870,7545.695313,,,
5870.25,7545.695313,,,
5870.5,7545.695313,,,
5870.75,7545.695313,,,
5871,7545.695313,,,
5871.25,7545.695313,,,
5871.5,7545.695313,,,
5871.75,7545.695313,,,
5872,7545.695313,,,
5872.25,7545.695313,,,
5872.5,7545.695313,,,
5872.75,7545.695313,,,
5873,7545.695313,,,
5873.25,7545.695313,,,
5873.5,7545.695313,,,
5873.75,7545.695313,,,
5874,7545.695313,,,
5874.25,7545.695313,,,
5874.5,7545.695313,,,
5874.75,7545.695313,,,
5875,7545.695313,,,
5875.25,7559.763672,,,
5875.5,7601.213867,,,
5875.75,7671.724121,,,
5876,7763.432129,,,
5876.25,7843.905273,,,
5876.5,7956.625,,,
5876.75,8017.582031,,,
5877,8031.941895,,,
5877.25,8152.473633,,,
5877.5,8194.314453,,,
5877.75,8249.588867,,,
5878,8447.324219,,,
5878.25,8518.62793,,,
5878.5,8523.15332,,,
5878.75,8523.15332,,,
5879,8596.219727,,,
5879.25,8602.617188,,,
5879.5,8602.617188,,,
5879.75,8650.772461,,,
5880,8674.508789,,,
5880.25,8675.243164,,,
5880.5,8675.243164,,,
5880.75,8707.917969,,,
5881,8731.175781,,,
5881.25,8731.175781,,,
5881.5,8731.175781,,,
5881.75,8732.12207,,,
5882,8769.15918,,,
5882.25,8769.15918,,,
5882.5,8769.15918,,,
5882.75,8769.15918,,,
5883,8769.15918,,,
5883.25,8769.15918,,,
5883.5,8769.15918,,,
5883.75,8769.15918,,,
5884,8769.15918,,,
5884.25,8769.15918,,,
5884.5,8769.15918,,,
5884.75,8769.15918,,,
5885,8769.15918,,,
5885.25,8769.15918,,,
5885.5,8769.15918,,,
5885.75,8769.15918,,,
5886,8769.15918,,,
5886.25,8769.15918,,,
5886.5,8769.15918,,,
5886.75,8769.15918,,,
5887,8769.15918,,,
5887.25,8769.15918,,,
5887.5,8769.15918,,,
5887.75,8769.15918,,,
5888,8769.15918,,,
5888.25,8769.15918,,,
5888.5,8769.15918,,,
5888.75,8769.15918,,,
5889,8769.15918,,,
5889.25,8769.15918,,,
5889.5,8769.15918,,,
5889.75,8769.15918,,,
5890,8769.15918,,,
5890.25,8769.15918,,,
5890.5,8769.15918,,,
5890.75,8769.15918,,,
5891,8769.15918,,,
5891.25,8769.15918,,,
5891.5,8769.15918,,,
5891.75,8769.15918,,,
5892,8769.15918,,,
5892.25,8769.15918,,,
5892.5,8769.15918,,,
5892.75,8769.15918,,,
5893,8769.15918,,,
5893.25,8769.15918,,,
5893.5,8769.15918,,,
5893.75,8769.15918,,,
5894,8769.15918,,,
5894.25,8769.15918,,,
5894.5,8769.15918,,,
5894.75,8769.15918,,,
5895,8769.15918,,,
5895.25,8769.15918,,,
5895.5,8782.801758,,,
5895.75,8799.959961,,,
5896,8860.020508,,,
5896.25,8906.686523,,,
5896.5,8954.446289,,,
5896.75,9067.669922,,,
5897,9123.024414,,,
5897.25,9160.75,,,
5897.5,9208.527344,,,
5897.75,9264.587891,,,
5898,9338.125977,,,
5898.25,9455.099609,,,
5898.5,9497.989258,,,
5898.75,9497.989258,,,
5899,9554.148438,,,
5899.25,9564.597656,,,
5899.5,9569.363281,,,
5899.75,9569.363281,,,
5900,9596.860352,,,
5900.25,9610.713867,,,
5900.5,9610.713867,,,
5900.75,9610.713867,,,
5901,9666.833984,,,
5901.25,9666.833984,,,
5901.5,9666.833984,,,
5901.75,9666.833984,,,
5902,9695.316406,,,
5902.25,9695.316406,,,
5902.5,9695.316406,,,
5902.75,9695.316406,,,
5903,9695.316406,,,
5903.25,9695.316406,,,
5903.5,9695.316406,,,
5903.75,9695.316406,,,
5904,9695.316406,,,
5904.25,9695.316406,,,
5904.5,9695.316406,,,
5904.75,9695.316406,,,
5905,9695.316406,,,
5905.25,9695.316406,,,
5905.5,9695.316406,,,
5905.75,9695.316406,,,
5906,9695.316406,,,
5906.25,9695.316406,,,
5906.5,9695.316406,,,
5906.75,9695.316406,,,
5907,9695.316406,,,
5907.25,9695.316406,,,
5907.5,9695.316406,,,
5907.75,9695.316406,,,
5908,9695.316406,,,
5908.25,9695.316406,,,
5908.5,9695.316406,,,
5908.75,9695.316406,,,
5909,9695.316406,,,
5909.25,9695.316406,,,
5909.5,9695.316406,,,
5909.75,9695.316406,,,
5910,9695.316406,,,
5910.25,9695.316406,,,
5910.5,9695.316406,,,
5910.75,9695.316406,,,
5911,9695.316406,,,
5911.25,9695.316406,,,
5911.5,9695.316406,,,
5911.75,9695.316406,,,
5912,9695.316406,,,
5912.25,9695.316406,,,
5912.5,9695.316406,,,
5912.75,9695.316406,,,
5913,9695.316406,,,
5913.25,9695.316406,,,
5913.5,9695.316406,,,
5913.75,9695.316406,,,
5914,9695.316406,,,
5914.25,9695.316406,,,
5914.5,9695.316406,,,
5914.75,9695.316406,,,
5915,9695.316406,,,
5915.25,9695.316406,,,
5915.5,9695.316406,,,
5915.75,9695.316406,,,
5916,9695.316406,,,
5916.25,9901.835938,,,
5916.5,9990.081055,,,
5916.75,10193.12891,,,
5917,10360.81641,,,
5917.25,10410.83984,,,
5917.5,10587.41797,,,
5917.75,10737.60938,,,
5918,10860.42578,,,
5918.25,11164.64648,,,
5918.5,11262.47852,,,
5918.75,11361.69824,,,
5919,11361.69824,,,
5919.25,11640.72363,,,
5919.5,11652.55176,,,
5919.75,11652.55176,,,
5920,11654.52637,,,
5920.25,11718.73633,,,
5920.5,11752.36816,,,
5920.75,11752.36816,,,
5921,11752.36816,,,
5921.25,11855.42773,,,
5921.5,11855.42773,,,
5921.75,11855.42773,,,
5922,11855.42773,,,
5922.25,11961.73047,,,
5922.5,11961.73047,,,
5922.75,11961.73047,,,
5923,11961.73047,,,
5923.25,11961.73047,,,
5923.5,11961.73047,,,
5923.75,11961.73047,,,
5924,11961.73047,,,
5924.25,11961.73047,,,
5924.5,11961.73047,,,
5924.75,11961.73047,,,
5925,11961.73047,,,
5925.25,11961.73047,,,
5925.5,11961.73047,,,
5925.75,11961.73047,,,
5926,11961.73047,,,
5926.25,11961.73047,,,
5926.5,11961.73047,,,
5926.75,11961.73047,,,
5927,11961.73047,,,
5927.25,11961.73047,,,
5927.5,11961.73047,,,
5927.75,11961.73047,,,
5928,11961.73047,,,
5928.25,11961.73047,,,
5928.5,11961.73047,,,
5928.75,11961.73047,,,
5929,11961.73047,,,
5929.25,11961.73047,,,
5929.5,11961.73047,,,
5929.75,11961.73047,,,
5930,11961.73047,,,
5930.25,11961.73047,,,
5930.5,11961.73047,,,
5930.75,11961.73047,,,
5931,11961.73047,,,
5931.25,11961.73047,,,
5931.5,11961.73047,,,
5931.75,11961.73047,,,
5932,11961.73047,,,
5932.25,11961.73047,,,
5932.5,11961.73047,,,
5932.75,11961.73047,,,
5933,11961.73047,,,
5933.25,11961.73047,,,
5933.5,11961.73047,,,
5933.75,11961.73047,,,
5934,11961.73047,,,
5934.25,11961.73047,,,
5934.5,11961.73047,,,
5934.75,11961.73047,,,
5935,11961.73047,,,
5935.25,11961.73047,,,
5935.5,11961.73047,,,
5935.75,11961.73047,,,
5936,11961.73047,,,
5936.25,12008.04785,,,
5936.5,12119.74219,,,
5936.75,12210.1123,,,
5937,12431.75488,,,
5937.25,12564.98242,,,
5937.5,12610.75684,,,
5937.75,12794.91113,,,
5938,12923.03125,,,
5938.25,13029.91406,,,
5938.5,13237.41602,,,
5938.75,13354.57324,,,
5939,13377.91699,,,
5939.25,13476.9834,,,
5939.5,13678.43652,,,
5939.75,13714.16211,,,
5940,13720.68262,,,
5940.25,13750.55273,,,
5940.5,13780.66406,,,
5940.75,13780.66406,,,
5941,13780.66406,,,
5941.25,13903.53516,,,
5941.5,13903.53516,,,
5941.75,13903.53516,,,
5942,13903.53516,,,
5942.25,13971.13867,,,
5942.5,13998.2334,,,
5942.75,13998.2334,,,
5943,13998.2334,,,
5943.25,13998.2334,,,
5943.5,13998.2334,,,
5943.75,13998.2334,,,
5944,13998.2334,,,
5944.25,13998.2334,,,
5944.5,13998.2334,,,
5944.75,13998.2334,,,
5945,13998.2334,,,
5945.25,13998.2334,,,
5945.5,13998.2334,,,
5945.75,13998.2334,,,
5946,13998.2334,,,
5946.25,13998.2334,,,
5946.5,13998.2334,,,
5946.75,13998.2334,,,
5947,13998.2334,,,
5947.25,13998.2334,,,
5947.5,13998.2334,,,
5947.75,13998.2334,,,
5948,13998.2334,,,
5948.25,13998.2334,,,
